strategy,orig_annual,orig_sharpe,orig_dd,orig_calmar,v2_annual,v2_sharpe,v2_dd,v2_calmar,v2_dsr,v2_deployable
策略1: ST困境反转,49.27,1.47,-45.29,1.09,36.89,1.38,-30.32,1.22,1.2938,False
策略2: 小市值动量+高换手,0.0,0.0,-21.53,0.0,-6.78,-0.44,-33.07,-0.21,-0.5791,False
策略3: 极小小市值轮动,41.93,0.67,-43.21,0.97,25.95,0.65,-27.9,0.93,0.5667,False
策略4: 次新股+题材共振,0.0,0.0,-46.57,0.0,-5.86,-0.41,-52.25,-0.11,-0.4933,False
策略5: 壳资源深度价值,55.92,0.83,-51.4,1.09,25.76,0.6,-31.87,0.81,0.5167,False
策略6: 低PB+50%止盈轮动,22.46,0.48,-43.21,0.52,16.43,0.45,-29.58,0.56,0.3667,False
策略7: 漂移状态条件反转,7.39,0.11,-43.21,0.17,2.22,-0.03,-30.64,0.07,-0.1133,False
策略8: 盈利能力×低波动复合,-79.77,-1.61,-41.3,-1.93,6.08,0.12,-31.64,0.19,0.0367,False
策略9: 条件反转→动量切换,-14.07,-0.37,-62.85,-0.22,-3.48,-0.32,-40.97,-0.08,-0.4033,False
策略10: 极小市值×盈利×反转三因子,26.15,0.43,-48.53,0.54,14.49,0.35,-29.65,0.49,0.2667,False
策略11: 因子动量动态权重,-15.29,-0.41,-65.04,-0.24,-4.44,-0.37,-43.1,-0.1,-0.4533,False
策略A: 低波小市值,26.87,0.61,-47.04,0.57,19.74,0.62,-32.02,0.62,0.5367,False
策略B: 多因子综合(Size+PB),41.58,0.67,-43.21,0.96,26.75,0.67,-27.8,0.96,0.5867,False
策略C: 低波+低换手(吸筹),34.3,0.66,-51.95,0.66,27.41,0.8,-30.86,0.89,0.7156,False
策略D: 5因子复合(Multi-Factor),19.99,0.44,-43.21,0.46,14.64,0.44,-29.06,0.5,0.3567,False
策略E: 状态切换动量(regime_mom),15.06,0.32,-44.27,0.34,8.84,0.22,-31.11,0.28,0.1367,False
策略F: 情绪条件切换(sentiment),17.12,0.37,-44.02,0.39,10.74,0.29,-30.92,0.35,0.2067,False
策略G: 多因子集成(ensemble),15.06,0.32,-44.27,0.34,8.84,0.22,-31.11,0.28,0.1367,False
策略H: 多时间框架动量(mtf),15.06,0.32,-44.27,0.34,8.84,0.22,-31.11,0.28,0.1367,False
